CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10069
NOMBRE    : SAN LUIS DEL CORDERO (SMN)
ESTADO    : DURANGO
MUNICIPIO : SAN LUIS DEL CORDERO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 025.417°
LONGITUD  : -104.283°
ALTITUD   : 1508 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/08/1942  0       Nulo   Nulo   Nulo   
02/08/1942  0       Nulo   Nulo   Nulo   
03/08/1942  0       Nulo   Nulo   Nulo   
04/08/1942  0       Nulo   Nulo   Nulo   
05/08/1942  0       Nulo   Nulo   Nulo   
06/08/1942  0       Nulo   Nulo   Nulo   
07/08/1942  0       Nulo   Nulo   Nulo   
08/08/1942  0       Nulo   Nulo   Nulo   
09/08/1942  0       Nulo   Nulo   Nulo   
10/08/1942  0       Nulo   Nulo   Nulo   
11/08/1942  0       Nulo   Nulo   Nulo   
12/08/1942  0       Nulo   Nulo   Nulo   
13/08/1942  0       Nulo   Nulo   Nulo   
14/08/1942  0       Nulo   Nulo   Nulo   
15/08/1942  0       Nulo   Nulo   Nulo   
16/08/1942  15.3    Nulo   Nulo   Nulo   
17/08/1942  20      Nulo   Nulo   Nulo   
18/08/1942  4.5     Nulo   Nulo   Nulo   
19/08/1942  2       Nulo   Nulo   Nulo   
20/08/1942  0       Nulo   Nulo   Nulo   
21/08/1942  27      Nulo   Nulo   Nulo   
22/08/1942  6       Nulo   Nulo   Nulo   
23/08/1942  0       Nulo   Nulo   Nulo   
24/08/1942  0       Nulo   Nulo   Nulo   
25/08/1942  0       Nulo   Nulo   Nulo   
26/08/1942  0       Nulo   Nulo   Nulo   
27/08/1942  0       Nulo   Nulo   Nulo   
28/08/1942  0       Nulo   Nulo   Nulo   
29/08/1942  0       Nulo   Nulo   Nulo   
30/08/1942  0       Nulo   Nulo   Nulo   
31/08/1942  0       Nulo   Nulo   Nulo   
01/09/1942  0       Nulo   Nulo   Nulo   
02/09/1942  0       Nulo   Nulo   Nulo   
03/09/1942  0       Nulo   Nulo   Nulo   
04/09/1942  0       Nulo   Nulo   Nulo   
05/09/1942  40      Nulo   Nulo   Nulo   
06/09/1942  4       Nulo   Nulo   Nulo   
07/09/1942  0       Nulo   Nulo   Nulo   
08/09/1942  0.2     Nulo   Nulo   Nulo   
09/09/1942  0       Nulo   Nulo   Nulo   
10/09/1942  0       Nulo   Nulo   Nulo   
11/09/1942  0       Nulo   Nulo   Nulo   
12/09/1942  0       Nulo   Nulo   Nulo   
13/09/1942  0       Nulo   Nulo   Nulo   
14/09/1942  0       Nulo   Nulo   Nulo   
15/09/1942  0       Nulo   Nulo   Nulo   
16/09/1942  0       Nulo   Nulo   Nulo   
17/09/1942  0.2     Nulo   Nulo   Nulo   
18/09/1942  40      Nulo   Nulo   Nulo   
19/09/1942  0       Nulo   Nulo   Nulo   
20/09/1942  3       Nulo   Nulo   Nulo   
21/09/1942  0.3     Nulo   Nulo   Nulo   
22/09/1942  0       Nulo   Nulo   Nulo   
23/09/1942  0       Nulo   Nulo   Nulo   
24/09/1942  0       Nulo   Nulo   Nulo   
25/09/1942  0       Nulo   Nulo   Nulo   
26/09/1942  0       Nulo   Nulo   Nulo   
27/09/1942  0       Nulo   Nulo   Nulo   
28/09/1942  0       Nulo   Nulo   Nulo   
29/09/1942  0       Nulo   Nulo   Nulo   
30/09/1942  0       Nulo   Nulo   Nulo   
01/10/1942  2       Nulo   Nulo   Nulo   
02/10/1942  0       Nulo   Nulo   Nulo   
03/10/1942  9       Nulo   Nulo   Nulo   
04/10/1942  7       Nulo   Nulo   Nulo   
05/10/1942  0       Nulo   Nulo   Nulo   
06/10/1942  0       Nulo   Nulo   Nulo   
07/10/1942  5       Nulo   Nulo   Nulo   
08/10/1942  0       Nulo   Nulo   Nulo   
09/10/1942  0       Nulo   Nulo   Nulo   
10/10/1942  0       Nulo   Nulo   Nulo   
11/10/1942  0       Nulo   Nulo   Nulo   
12/10/1942  0       Nulo   Nulo   Nulo   
13/10/1942  0       Nulo   Nulo   Nulo   
14/10/1942  0       Nulo   Nulo   Nulo   
15/10/1942  0       Nulo   Nulo   Nulo   
16/10/1942  0       Nulo   Nulo   Nulo   
17/10/1942  0       Nulo   Nulo   Nulo   
18/10/1942  0       Nulo   Nulo   Nulo   
19/10/1942  0       Nulo   Nulo   Nulo   
20/10/1942  0       Nulo   Nulo   Nulo   
21/10/1942  0       Nulo   Nulo   Nulo   
22/10/1942  0       Nulo   Nulo   Nulo   
23/10/1942  0       Nulo   Nulo   Nulo   
24/10/1942  0       Nulo   Nulo   Nulo   
25/10/1942  0       Nulo   Nulo   Nulo   
26/10/1942  0       Nulo   Nulo   Nulo   
27/10/1942  0       Nulo   Nulo   Nulo   
28/10/1942  0       Nulo   Nulo   Nulo   
29/10/1942  0       Nulo   Nulo   Nulo   
30/10/1942  0       Nulo   Nulo   Nulo   
31/10/1942  0       Nulo   Nulo   Nulo   
01/11/1942  0       Nulo   Nulo   Nulo   
02/11/1942  0       Nulo   Nulo   Nulo   
03/11/1942  0       Nulo   Nulo   Nulo   
04/11/1942  7       Nulo   Nulo   Nulo   
05/11/1942  0       Nulo   Nulo   Nulo   
06/11/1942  0       Nulo   Nulo   Nulo   
07/11/1942  0       Nulo   Nulo   Nulo   
08/11/1942  0       Nulo   Nulo   Nulo   
09/11/1942  0       Nulo   Nulo   Nulo   
10/11/1942  0       Nulo   Nulo   Nulo   
11/11/1942  0       Nulo   Nulo   Nulo   
12/11/1942  0       Nulo   Nulo   Nulo   
13/11/1942  0       Nulo   Nulo   Nulo   
14/11/1942  0       Nulo   Nulo   Nulo   
15/11/1942  0       Nulo   Nulo   Nulo   
16/11/1942  0       Nulo   Nulo   Nulo   
17/11/1942  0       Nulo   Nulo   Nulo   
18/11/1942  0       Nulo   Nulo   Nulo   
19/11/1942  0       Nulo   Nulo   Nulo   
20/11/1942  0       Nulo   Nulo   Nulo   
21/11/1942  0       Nulo   Nulo   Nulo   
22/11/1942  0       Nulo   Nulo   Nulo   
23/11/1942  0       Nulo   Nulo   Nulo   
24/11/1942  0       Nulo   Nulo   Nulo   
25/11/1942  0       Nulo   Nulo   Nulo   
26/11/1942  0       Nulo   Nulo   Nulo   
27/11/1942  0       Nulo   Nulo   Nulo   
28/11/1942  0       Nulo   Nulo   Nulo   
29/11/1942  0       Nulo   Nulo   Nulo   
30/11/1942  0       Nulo   Nulo   Nulo   
01/02/1943  0       Nulo   Nulo   Nulo   
02/02/1943  0       Nulo   Nulo   Nulo   
03/02/1943  0       Nulo   Nulo   Nulo   
04/02/1943  0       Nulo   Nulo   Nulo   
05/02/1943  0       Nulo   Nulo   Nulo   
06/02/1943  0       Nulo   Nulo   Nulo   
07/02/1943  0       Nulo   Nulo   Nulo   
08/02/1943  0       Nulo   Nulo   Nulo   
09/02/1943  0       Nulo   Nulo   Nulo   
10/02/1943  0       Nulo   Nulo   Nulo   
11/02/1943  0       Nulo   Nulo   Nulo   
