CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13052
NOMBRE    : GENERAL PISAFLORES
ESTADO    : HIDALGO
MUNICIPIO : Pisaflores
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 021.2°
LONGITUD  : -99.0°
ALTITUD   : 414 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/11/1942  20      Nulo   Nulo   Nulo   
02/11/1942  2.5     Nulo   Nulo   Nulo   
03/11/1942  0       Nulo   Nulo   Nulo   
04/11/1942  1.5     Nulo   Nulo   Nulo   
05/11/1942  0       Nulo   Nulo   Nulo   
06/11/1942  0       Nulo   Nulo   Nulo   
07/11/1942  0       Nulo   Nulo   Nulo   
08/11/1942  0       Nulo   Nulo   Nulo   
09/11/1942  0       Nulo   Nulo   Nulo   
10/11/1942  0       Nulo   Nulo   Nulo   
11/11/1942  11      Nulo   Nulo   Nulo   
12/11/1942  2       Nulo   Nulo   Nulo   
13/11/1942  0       Nulo   Nulo   Nulo   
14/11/1942  0       Nulo   Nulo   Nulo   
15/11/1942  2.5     Nulo   Nulo   Nulo   
16/11/1942  4       Nulo   Nulo   Nulo   
17/11/1942  0       Nulo   Nulo   Nulo   
18/11/1942  1.5     Nulo   Nulo   Nulo   
19/11/1942  0       Nulo   Nulo   Nulo   
20/11/1942  1.5     Nulo   Nulo   Nulo   
21/11/1942  2.5     Nulo   Nulo   Nulo   
22/11/1942  2.5     Nulo   Nulo   Nulo   
23/11/1942  1       Nulo   Nulo   Nulo   
24/11/1942  1       Nulo   Nulo   Nulo   
25/11/1942  0       Nulo   Nulo   Nulo   
26/11/1942  0       Nulo   Nulo   Nulo   
27/11/1942  0       Nulo   Nulo   Nulo   
28/11/1942  2.5     Nulo   Nulo   Nulo   
29/11/1942  2.5     Nulo   Nulo   Nulo   
30/11/1942  2.5     Nulo   Nulo   Nulo   
01/12/1942  1.2     Nulo   Nulo   Nulo   
02/12/1942  4.5     Nulo   Nulo   Nulo   
03/12/1942  1.5     Nulo   Nulo   Nulo   
04/12/1942  0       Nulo   Nulo   Nulo   
05/12/1942  0       Nulo   Nulo   Nulo   
06/12/1942  0       Nulo   Nulo   Nulo   
07/12/1942  0       Nulo   Nulo   Nulo   
08/12/1942  2.5     Nulo   Nulo   Nulo   
09/12/1942  1       Nulo   Nulo   Nulo   
10/12/1942  2       Nulo   Nulo   Nulo   
11/12/1942  2       Nulo   Nulo   Nulo   
12/12/1942  40      Nulo   Nulo   Nulo   
13/12/1942  4       Nulo   Nulo   Nulo   
14/12/1942  6.5     Nulo   Nulo   Nulo   
15/12/1942  1.5     Nulo   Nulo   Nulo   
16/12/1942  0       Nulo   Nulo   Nulo   
17/12/1942  0       Nulo   Nulo   Nulo   
18/12/1942  0       Nulo   Nulo   Nulo   
19/12/1942  0       Nulo   Nulo   Nulo   
20/12/1942  0       Nulo   Nulo   Nulo   
21/12/1942  0       Nulo   Nulo   Nulo   
22/12/1942  0       Nulo   Nulo   Nulo   
23/12/1942  0       Nulo   Nulo   Nulo   
24/12/1942  0       Nulo   Nulo   Nulo   
25/12/1942  0       Nulo   Nulo   Nulo   
26/12/1942  0       Nulo   Nulo   Nulo   
27/12/1942  0       Nulo   Nulo   Nulo   
28/12/1942  0       Nulo   Nulo   Nulo   
29/12/1942  0       Nulo   Nulo   Nulo   
30/12/1942  0       Nulo   Nulo   Nulo   
31/12/1942  0       Nulo   Nulo   Nulo   
01/01/1943  0       Nulo   Nulo   Nulo   
02/01/1943  0       Nulo   Nulo   Nulo   
03/01/1943  0       Nulo   Nulo   Nulo   
04/01/1943  0       Nulo   Nulo   Nulo   
05/01/1943  0       Nulo   Nulo   Nulo   
06/01/1943  0       Nulo   Nulo   Nulo   
07/01/1943  0       Nulo   Nulo   Nulo   
08/01/1943  0       Nulo   Nulo   Nulo   
09/01/1943  0       Nulo   Nulo   Nulo   
10/01/1943  0       Nulo   Nulo   Nulo   
11/01/1943  0       Nulo   Nulo   Nulo   
12/01/1943  0       Nulo   Nulo   Nulo   
13/01/1943  0       Nulo   Nulo   Nulo   
14/01/1943  0       Nulo   Nulo   Nulo   
15/01/1943  0       Nulo   Nulo   Nulo   
16/01/1943  0       Nulo   Nulo   Nulo   
17/01/1943  0       Nulo   Nulo   Nulo   
18/01/1943  0       Nulo   Nulo   Nulo   
19/01/1943  0       Nulo   Nulo   Nulo   
20/01/1943  0       Nulo   Nulo   Nulo   
21/01/1943  0       Nulo   Nulo   Nulo   
22/01/1943  0       Nulo   Nulo   Nulo   
23/01/1943  0       Nulo   Nulo   Nulo   
