CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15296
NOMBRE    : SAN SEBASTIAN E-27
ESTADO    : MEXICO
MUNICIPIO : Malinalco
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.974°
LONGITUD  : -99.485°
ALTITUD   : 2045 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1979  0       Nulo   Nulo   Nulo   
02/04/1979  0       Nulo   Nulo   Nulo   
03/04/1979  0       Nulo   Nulo   Nulo   
04/04/1979  0       Nulo   Nulo   Nulo   
05/04/1979  0       Nulo   Nulo   Nulo   
06/04/1979  0       Nulo   Nulo   Nulo   
07/04/1979  0       Nulo   Nulo   Nulo   
08/04/1979  0       Nulo   Nulo   Nulo   
09/04/1979  0       Nulo   Nulo   Nulo   
10/04/1979  0       Nulo   Nulo   Nulo   
11/04/1979  0       Nulo   Nulo   Nulo   
12/04/1979  0       Nulo   Nulo   Nulo   
13/04/1979  0       Nulo   Nulo   Nulo   
14/04/1979  0       Nulo   Nulo   Nulo   
15/04/1979  0       Nulo   Nulo   Nulo   
16/04/1979  0       Nulo   Nulo   Nulo   
17/04/1979  0       Nulo   Nulo   Nulo   
18/04/1979  0.1     Nulo   Nulo   Nulo   
19/04/1979  2       Nulo   Nulo   Nulo   
20/04/1979  3       Nulo   Nulo   Nulo   
21/04/1979  0       Nulo   Nulo   Nulo   
22/04/1979  0       Nulo   Nulo   Nulo   
23/04/1979  0       Nulo   Nulo   Nulo   
24/04/1979  0       Nulo   Nulo   Nulo   
25/04/1979  0       Nulo   Nulo   Nulo   
26/04/1979  0       Nulo   Nulo   Nulo   
27/04/1979  0       Nulo   Nulo   Nulo   
28/04/1979  0       Nulo   Nulo   Nulo   
29/04/1979  0       Nulo   Nulo   Nulo   
30/04/1979  0       Nulo   Nulo   Nulo   
01/05/1979  0       Nulo   Nulo   Nulo   
02/05/1979  0       Nulo   Nulo   Nulo   
03/05/1979  0       Nulo   Nulo   Nulo   
04/05/1979  0       Nulo   Nulo   Nulo   
05/05/1979  0       Nulo   Nulo   Nulo   
06/05/1979  0       Nulo   Nulo   Nulo   
07/05/1979  0       Nulo   Nulo   Nulo   
08/05/1979  2       Nulo   Nulo   Nulo   
09/05/1979  0       Nulo   Nulo   Nulo   
10/05/1979  0       Nulo   Nulo   Nulo   
11/05/1979  6       Nulo   Nulo   Nulo   
12/05/1979  0       Nulo   Nulo   Nulo   
13/05/1979  4       Nulo   Nulo   Nulo   
14/05/1979  2       Nulo   Nulo   Nulo   
15/05/1979  25      Nulo   Nulo   Nulo   
16/05/1979  6       Nulo   Nulo   Nulo   
17/05/1979  0       Nulo   Nulo   Nulo   
18/05/1979  0       Nulo   Nulo   Nulo   
19/05/1979  0       Nulo   Nulo   Nulo   
20/05/1979  14      Nulo   Nulo   Nulo   
21/05/1979  16      Nulo   Nulo   Nulo   
22/05/1979  2       Nulo   Nulo   Nulo   
23/05/1979  4       Nulo   Nulo   Nulo   
24/05/1979  8       Nulo   Nulo   Nulo   
25/05/1979  0       Nulo   Nulo   Nulo   
26/05/1979  3       Nulo   Nulo   Nulo   
27/05/1979  0       Nulo   Nulo   Nulo   
28/05/1979  2       Nulo   Nulo   Nulo   
29/05/1979  21      Nulo   Nulo   Nulo   
30/05/1979  0       Nulo   Nulo   Nulo   
31/05/1979  0       Nulo   Nulo   Nulo   
01/06/1979  2       Nulo   Nulo   Nulo   
02/06/1979  4       Nulo   Nulo   Nulo   
03/06/1979  11      Nulo   Nulo   Nulo   
04/06/1979  6       Nulo   Nulo   Nulo   
